dataset,norm_mode,algorithm,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,gamma
Breast_Cancer,center,ifdkm,85.4130,0.0000,46.4793,0.0000,49.1425,0.0000,100000000.0
Breast_Cancer,center,ifdfd,85.4130,0.0000,46.4793,0.0000,49.1425,0.0000,100000000.0
Breast_Cancer,standardize,kmeans,90.9315,0.3444,55.0176,1.4507,66.7353,1.1209,N/A
Breast_Cancer,standardize,diskmeans,94.0246,0.7203,68.7523,4.1571,77.3425,2.5109,100.0
Breast_Cancer,standardize,fdkm,91.2127,0.0000,55.8670,0.0000,67.6698,0.0000,10000.0
Breast_Cancer,standardize,ifdkm,93.1810,1.5735,65.9510,5.4989,74.4224,5.4411,100.0
Breast_Cancer,standardize,ifdfd,94.3761,0.0000,71.4243,0.0000,78.5581,0.0000,100.0
Breast_Cancer,pca_whiten,kmeans,67.4165,6.9810,7.7663,11.0103,10.0421,14.3224,N/A
Breast_Cancer,pca_whiten,diskmeans,65.7645,6.4539,8.0479,5.7204,11.3408,8.1412,1e-08
Breast_Cancer,pca_whiten,fdkm,68.5764,13.6710,17.7592,26.0954,21.0395,28.1582,1e-08
Breast_Cancer,pca_whiten,ifdkm,64.4288,4.8636,6.0050,3.7561,8.9378,6.2582,1e-08
Breast_Cancer,pca_whiten,ifdfd,57.6801,4.5700,2.2056,1.6743,3.0032,2.6137,1000000.0
Breast_Cancer,l2_sample,kmeans,88.6116,0.0703,50.5874,0.3687,59.0774,0.2173,N/A
Breast_Cancer,l2_sample,diskmeans,90.5097,0.0000,55.7883,0.0000,65.2401,0.0000,1.0
Breast_Cancer,l2_sample,fdkm,77.8559,20.0592,40.3066,32.4863,46.6941,38.0949,1e-08
Breast_Cancer,l2_sample,ifdkm,90.5097,0.0000,55.7883,0.0000,65.2401,0.0000,1.0
Breast_Cancer,l2_sample,ifdfd,90.3339,0.0000,55.2774,0.0000,64.6588,0.0000,1.0
Breast_Cancer,center_l2,kmeans,90.6854,0.0000,54.7685,0.0000,65.8811,0.0000,N/A
Breast_Cancer,center_l2,diskmeans,90.6854,0.0000,54.5504,0.0000,65.8919,0.0000,100.0
Breast_Cancer,center_l2,fdkm,90.6854,0.0000,54.5504,0.0000,65.8919,0.0000,100.0
Breast_Cancer,center_l2,ifdkm,90.6854,0.0000,54.5504,0.0000,65.8919,0.0000,100.0
Breast_Cancer,center_l2,ifdfd,90.6854,0.0000,54.5504,0.0000,65.8919,0.0000,100.0
Breast_Cancer,frobenius,kmeans,85.4130,0.0000,46.4793,0.0000,49.1425,0.0000,N/A
Breast_Cancer,frobenius,diskmeans,90.6854,0.0000,54.7248,0.0872,65.8832,0.0043,1000000.0
Breast_Cancer,frobenius,fdkm,85.9402,0.0000,47.7085,0.0000,50.7140,0.0000,100.0
Breast_Cancer,frobenius,ifdkm,85.4130,0.0000,46.4793,0.0000,49.1425,0.0000,1.0
Breast_Cancer,frobenius,ifdfd,85.4833,0.2630,46.6445,0.6114,49.3533,0.7822,100.0
Breast_Cancer,robust,kmeans,89.5958,0.1722,53.1208,0.5458,62.2455,0.5622,N/A
Breast_Cancer,robust,diskmeans,90.9666,0.3946,56.7057,1.7494,66.7840,1.3131,10000.0
Breast_Cancer,robust,fdkm,90.8612,0.0000,57.2400,0.0000,66.3975,0.0000,10000.0
Breast_Cancer,robust,ifdkm,90.6151,0.0861,56.5184,0.2509,65.5779,0.2860,10000.0
Breast_Cancer,robust,ifdfd,90.8612,0.0000,57.2400,0.0000,66.3975,0.0000,10000.0
Breast_Cancer,minmax,kmeans,92.7944,0.0000,62.3086,0.0000,73.0175,0.0000,N/A
Breast_Cancer,minmax,diskmeans,92.4429,0.0000,60.6448,0.0000,71.8169,0.0000,10000.0
Breast_Cancer,minmax,fdkm,92.4429,0.0000,60.6448,0.0000,71.8169,0.0000,10000.0
Breast_Cancer,minmax,ifdkm,92.7944,0.0000,63.2747,0.0000,72.9923,0.0000,10000.0
Breast_Cancer,minmax,ifdfd,93.0404,0.2109,63.5707,1.0540,73.8661,0.7251,10000.0
Breast_Cancer,row_center,kmeans,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,N/A
Breast_Cancer,row_center,diskmeans,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,100000000.0
Breast_Cancer,row_center,fdkm,82.3902,12.8434,41.1908,24.4842,48.2054,27.1926,1.0
Breast_Cancer,row_center,ifdkm,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,100000000.0
Breast_Cancer,row_center,ifdfd,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,100000000.0
Breast_Cancer,double_center,kmeans,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,N/A
Breast_Cancer,double_center,diskmeans,85.5185,1.5938,46.8114,3.6667,49.5450,4.6957,10000.0
Breast_Cancer,double_center,fdkm,93.6731,0.0000,68.6410,0.7686,76.0464,0.0094,1.0
Breast_Cancer,double_center,ifdkm,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,100000000.0
Breast_Cancer,double_center,ifdfd,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,100000000.0
Breast_Cancer,False,kmeans,85.4130,0.0000,46.4793,0.0000,49.1425,0.0000,N/A
Breast_Cancer,False,diskmeans,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,100000000.0
Breast_Cancer,False,fdkm,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,100000000.0
Breast_Cancer,False,ifdkm,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,100000000.0
Breast_Cancer,False,ifdfd,85.2373,0.0000,46.0740,0.0000,48.6230,0.0000,100000000.0
